loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
4.26462984085083,0.5027660727500916,1.0027666091918945,0.49330002069473267,0.5027660727500916,0.6675255298614502,0.4311935305595398,3.8685295581817627,0.4364379346370697,1.0003125667572021,0.37174156308174133,0.4364379346370697,0.6665629148483276,0.4416666626930237
2.999840259552002,0.4381656348705292,0.43456852436065674,0.31431683897972107,0.4381656348705292,0.7158460021018982,0.5819841623306274,3.1719725131988525,0.4121992290019989,0.6337267160415649,0.3207731246948242,0.4121992290019989,0.6982155442237854,0.5145833492279053
2.3707096576690674,0.3537917137145996,0.3060579001903534,0.2853284776210785,0.3537917137145996,0.7275024652481079,0.6331890225410461,2.8748395442962646,0.41818931698799133,0.424399733543396,0.29458698630332947,0.41818931698799133,0.7160636782646179,0.5911458134651184
1.9571844339370728,0.2918021082878113,0.24317312240600586,0.26682931184768677,0.2918021082878113,0.7332994937896729,0.6708396077156067,2.487351655960083,0.3777914345264435,0.30580082535743713,0.2793869376182556,0.3777914345264435,0.7262688279151917,0.612500011920929
1.7240386009216309,0.26126232743263245,0.19470518827438354,0.25133663415908813,0.26126232743263245,0.7376105189323425,0.7049133777618408,1.7240149974822998,0.24327340722084045,0.24700316786766052,0.2742864787578583,0.24327340722084045,0.7332892417907715,0.6182291507720947
1.5868083238601685,0.24240365624427795,0.17054633796215057,0.23794199526309967,0.24240365624427795,0.7398504614830017,0.7258095145225525,1.9108188152313232,0.2955164909362793,0.20358841121196747,0.25570714473724365,0.2955164909362793,0.7357029318809509,0.6677083373069763
1.4813734292984009,0.22825443744659424,0.15161201357841492,0.2253659963607788,0.22825443744659424,0.7414689064025879,0.7473644614219666,1.7261675596237183,0.26503437757492065,0.1859108954668045,0.24425840377807617,0.26503437757492065,0.7385506629943848,0.6786458492279053
1.411902666091919,0.2190968096256256,0.13963603973388672,0.2139299511909485,0.2190968096256256,0.7425604462623596,0.7648720145225525,1.6918216943740845,0.263272225856781,0.1744578629732132,0.22754709422588348,0.263272225856781,0.7381088137626648,0.7286458611488342
1.3259178400039673,0.2061406970024109,0.12894447147846222,0.20359475910663605,0.2061406970024109,0.7435222864151001,0.7730609774589539,1.4597033262252808,0.22470197081565857,0.15339507162570953,0.2122020423412323,0.22470197081565857,0.7402867674827576,0.7677083611488342
1.2419800758361816,0.1920580267906189,0.12321716547012329,0.19372889399528503,0.1920580267906189,0.7440063953399658,0.7841679453849792,1.5386031866073608,0.24343067407608032,0.14452306926250458,0.20933029055595398,0.24343067407608032,0.7417722344398499,0.7630208134651184
